"PolyID","imd_rank","imd_national_decile","nation"
"E01000701",24246,8,"England"
"E01000702",24694,8,"England"
"E01000703",26912,8,"England"
"E01000704",25856,8,"England"
"E01000705",14933,5,"England"
"E01000706",20540,7,"England"
"E01000707",32778,10,"England"
"E01000708",27389,9,"England"
"E01000709",23349,7,"England"
"E01000710",28740,9,"England"
"E01000711",23574,7,"England"
"E01000712",30202,9,"England"
"E01000713",29938,9,"England"
"E01000714",21318,7,"England"
"E01000715",30766,10,"England"
"E01000716",31659,10,"England"
"E01000717",27102,9,"England"
"E01000718",15127,5,"England"
"E01000719",10221,4,"England"
"E01000720",5258,2,"England"
"E01000721",5653,2,"England"
"E01000722",13760,5,"England"
"E01000723",29264,9,"England"
"E01000724",5190,2,"England"
"E01000725",10164,4,"England"
"E01000726",21838,7,"England"
"E01000727",20243,6,"England"
"E01000728",13683,5,"England"
"E01000729",5464,2,"England"
"E01000730",5669,2,"England"
"E01000731",12262,4,"England"
"E01000732",25550,8,"England"
"E01000733",15756,5,"England"
"E01000734",27191,9,"England"
"E01000735",10344,4,"England"
"E01000736",12927,4,"England"
"E01000737",8777,3,"England"
"E01000738",19873,6,"England"
"E01000739",4680,2,"England"
"E01000741",13694,5,"England"
"E01000742",14261,5,"England"
"E01000743",4671,2,"England"
"E01000744",3653,2,"England"
"E01000745",16136,5,"England"
"E01000746",19430,6,"England"
"E01000747",14010,5,"England"
"E01000748",25070,8,"England"
"E01000749",26303,8,"England"
"E01000750",8019,3,"England"
"E01000751",32019,10,"England"
"E01000752",27918,9,"England"
"E01000753",33022,10,"England"
"E01000754",30751,10,"England"
"E01000755",32432,10,"England"
"E01000756",31458,10,"England"
"E01000757",33723,10,"England"
"E01000758",33207,10,"England"
"E01000759",31567,10,"England"
"E01000760",26652,8,"England"
"E01000761",32812,10,"England"
"E01000762",29976,9,"England"
"E01000763",32972,10,"England"
"E01000764",22323,7,"England"
"E01000765",27777,9,"England"
"E01000766",33690,10,"England"
"E01000767",33310,10,"England"
"E01000768",29267,9,"England"
"E01000769",14127,5,"England"
"E01000770",31735,10,"England"
"E01000771",31610,10,"England"
"E01000772",32392,10,"England"
"E01000773",32774,10,"England"
"E01000774",25368,8,"England"
"E01000775",28305,9,"England"
"E01000777",31626,10,"England"
"E01000778",22001,7,"England"
"E01000779",20978,7,"England"
"E01000780",13377,4,"England"
"E01000781",7013,3,"England"
"E01000782",5367,2,"England"
"E01000783",7149,3,"England"
"E01000784",26119,8,"England"
"E01000785",9335,3,"England"
"E01000786",27512,9,"England"
"E01000787",13532,5,"England"
"E01000788",20099,6,"England"
"E01000789",2883,1,"England"
"E01000790",21252,7,"England"
"E01000791",26783,8,"England"
"E01000792",17956,6,"England"
"E01000793",33455,10,"England"
"E01000794",33484,10,"England"
"E01000795",21090,7,"England"
"E01000796",4571,2,"England"
"E01000797",20571,7,"England"
"E01000798",5276,2,"England"
"E01000799",11511,4,"England"
"E01000800",9701,3,"England"
"E01000801",15477,5,"England"
"E01000802",17780,6,"England"
"E01000803",18346,6,"England"
"E01000804",29587,9,"England"
"E01000805",12544,4,"England"
"E01000806",7393,3,"England"
"E01000807",26739,8,"England"
"E01000808",32330,10,"England"
"E01000809",33532,10,"England"
"E01000810",33741,10,"England"
"E01000811",33177,10,"England"
"E01000812",25562,8,"England"
"E01000813",32724,10,"England"
"E01000814",33602,10,"England"
"E01000815",33638,10,"England"
"E01000816",22254,7,"England"
"E01000818",29690,9,"England"
"E01000819",10763,4,"England"
"E01000820",14560,5,"England"
"E01000822",17645,6,"England"
"E01000823",22391,7,"England"
"E01000824",18532,6,"England"
"E01000825",19395,6,"England"
"E01000826",33604,10,"England"
"E01000827",29667,9,"England"
"E01000828",26096,8,"England"
"E01000829",29489,9,"England"
"E01000830",33343,10,"England"
"E01000831",31001,10,"England"
"E01000832",31542,10,"England"
"E01000833",33344,10,"England"
"E01000834",33274,10,"England"
"E01000835",23437,7,"England"
"E01000836",33433,10,"England"
"E01000837",25850,8,"England"
"E01000838",32693,10,"England"
"E01000839",33304,10,"England"
"E01000840",30117,9,"England"
"E01000841",32289,10,"England"
"E01000842",29782,9,"England"
"E01000843",15517,5,"England"
"E01000844",26814,8,"England"
"E01000845",22257,7,"England"
"E01000846",8539,3,"England"
"E01000847",13533,5,"England"
"E01000848",27844,9,"England"
"E01000849",22918,7,"England"
"E01000850",19709,6,"England"
"E01000851",17800,6,"England"
"E01000853",3936,2,"England"
"E01000855",17240,6,"England"
"E01000856",7423,3,"England"
"E01000857",17700,6,"England"
"E01000858",5711,2,"England"
"E01000859",26327,8,"England"
"E01000860",11443,4,"England"
"E01000861",7837,3,"England"
"E01000862",26292,8,"England"
"E01000863",5910,2,"England"
